Detailed Results:

Entry 1:
  query: I am going to subject you to a Long-Term Memory benchmark. In the following, I will be giving you different kinds of information and I expect you to answer extremely briefly, only providing the AMs that you are required to provide. Otherwise, provide just short confirmations. Understood?
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: admin
  is_scored_question: no
  retrieved_memories_count: 0
  filtered_memories_count: 0

Entry 2:
  query: My favourite colour is Purple.
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: colour
  is_scored_question: no
  retrieved_memories_count: 1
  filtered_memories_count: 0

Entry 3:
  query: Atheism is a non-prophet organization
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: joke
  is_scored_question: no
  retrieved_memories_count: 2
  filtered_memories_count: 0

Entry 4:
  query: There is a Museum in the center of my hometown.
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: location
  is_scored_question: no
  retrieved_memories_count: 3
  filtered_memories_count: 0

Entry 5:
  query: Callan is what I am called.
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: name
  is_scored_question: no
  retrieved_memories_count: 0
  filtered_memories_count: 0

Entry 6:
  query: 'The greatest glory in living lies not in never falling, but in rising every time we fall.' - Nelson Mandela
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: quote
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 0

Entry 7:
  query: When I talk to you as the waiter (e.g. 'Waiter: what will it be sir?'), then you will reply as if you were the customer at a restaurant. Give straight answers to the questions and avoid going off script. Understood?
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 1
  trivia: 0
  total_memories: 1
  test: restaurant
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 8:
  query: They are broadcasting a program on TV. I will keep you updated on what happens, and at the end, I will ask you a question about what happened on the show. Okay?
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 1
  trivia: 0
  total_memories: 1
  test: sally-anne
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 9:
  query: I require 1 Leek, please put it on the list.
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 1
  trivia: 0
  total_memories: 1
  test: shopping
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 10:
  query: You will be given three messages from different people Joshua Mcdonald, Casey Peterson, and Mr. Toby Power.
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 3
  trivia: 0
  total_memories: 3
  test: spy
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 3

Entry 11:
  query: Whenever I ask you to read my mail for me then say: 'Your letter opener is in your office'
  true_relevant: 0
  expected_relevant: 0
  true_relevant_percent: 0
  irrelevant: 1
  trivia: 0
  total_memories: 1
  test: trigger
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 12:
  query: (On TV) Logan is in the living_room.

  true_relevant: 1
  expected_relevant: 1
  true_relevant_percent: 100.00
  irrelevant: 0
  trivia: 0
  total_memories: 1
  test: sally-anne
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 13:
  query: I visited Town Hall, which is 1 KM, West from Museum.
  true_relevant: 1
  expected_relevant: 1
  true_relevant_percent: 100.00
  irrelevant: 0
  trivia: 0
  total_memories: 1
  test: location
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 14:
  query: I require another 3 Leek, please put it on the list.
  true_relevant: 0
  expected_relevant: 1
  true_relevant_percent: 0.00
  irrelevant: 1
  trivia: 0
  total_memories: 1
  test: shopping
  is_scored_question: no
  retrieved_memories_count: 5
  filtered_memories_count: 1

Entry 15:
  query: My name is Justine.
  true_relevant: 0
  expected_relevant: 1
  true_relevant_percent: 0.00
  irrelevant: 0
  trivia: 0
  total_memories: 0
  test: name
  is_scored_question: no
  retrieved_memories_count: 0
  filtered_memories_count: 0

Entry 16:
  query: (On TV) Emily entered the living_room.

